    2016v3 --> 164408000 events
      2017 --> 101520000 events
      2018 --> 93446000 events
    2016v2 --> 89743000 events

recommended       type    mass         V2    ctau (mm)  ctauRatioToTheory   events                cross section  miniAOD directory
-----------       ----    ----         --    ---------  -----------------   ------                -------------  ------- ---------
          *      dirac    10.0      1e-07      79.1845               0.94   200000       2.404e-04 +- 1.048e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-10_V-0.000316227766017_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-07      79.1845               0.94   200000       2.401e-04 +- 1.073e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-10_V-0.000316227766017_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-07      79.1845               0.94   200000       2.404e-04 +- 1.059e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.000316227766017_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-07      79.2231               0.99   200000       2.398e-04 +- 1.045e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-10_V-0.000316227766017_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-07      79.2231               0.99   200000       2.403e-04 +- 1.074e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-10_V-0.000316227766017_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-07      79.2231               0.99   150000       2.399e-04 +- 1.053e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.000316227766017_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-07     250.2737               0.94   100000       2.387e-04 +- 1.068e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.000316227766017_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-07     250.2737               0.94   200000       2.390e-04 +- 1.066e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.000316227766017_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-07     250.2737               0.94   150000       2.387e-04 +- 1.033e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.000316227766017_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-07     250.6007               0.98   200000       2.387e-04 +- 1.054e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.000316227766017_mu_Dirac_massiveAndCKM_LO
